iter	Passed	Remaining
275	1179	3094
276	1184	3090
277	1188	3085
278	1191	3078
279	1194	3070
280	1197	3063
281	1202	3062
282	1206	3056
283	1209	3048
284	1212	3041
285	1217	3039
286	1221	3034
287	1224	3027
288	1227	3020
289	1230	3013
290	1235	3009
291	1238	3003
292	1241	2996
293	1246	2992
294	1250	2989
295	1254	2983
296	1257	2977
297	1261	2971
298	1265	2967
299	1270	2963
300	1274	2959
301	1278	2953
302	1284	2953
303	1288	2948
304	1291	2943
305	1295	2939
306	1299	2934
307	1304	2931
308	1309	2928
309	1314	2925
310	1319	2922
311	1322	2916
312	1326	2910
313	1332	2911
314	1336	2906
315	1339	2899
316	1344	2897
317	1349	2894
318	1353	2888
319	1356	2882
320	1360	2877
321	1365	2875
322	1369	2869
323	1372	2863
324	1377	2861
325	1381	2856
326	1385	2850
327	1388	2844
328	1393	2841
329	1397	2837
330	1400	2830
331	1403	2824
332	1406	2817
333	1411	2814
334	1415	2809
335	1418	2803
336	1422	2798
337	1427	2795
338	1431	2790
339	1434	2784
340	1438	2780
341	1443	2778
342	1447	2772
343	1451	2767
344	1455	2762
345	1459	2759
346	1463	2753
347	1466	2748
348	1471	2745
349	1476	2742
350	1480	2736
351	1483	2731
352	1488	2727
353	1492	2722
354	1495	2717
355	1499	2713
356	1503	2707
357	1507	2704
358	1511	2699
359	1515	2693
360	1518	2688
361	1524	2686
362	1528	2682
363	1531	2676
364	1535	2670
365	1541	2670
366	1545	2665
367	1548	2659
368	1552	2654
369	1558	2653
370	1561	2647
371	1565	2642
372	1570	2639
373	1574	2634
374	1577	2629
375	1581	2624
376	1585	2620
377	1591	2618
378	1594	2612
379	1597	2605
380	1601	2601
381	1604	2596
382	1607	2590
383	1610	2583
384	1613	2577
385	1617	2573
386	1621	2568
387	1624	2561
388	1627	2555
389	1630	2549
390	1634	2545
391	1637	2539
392	1640	2533
393	1643	2527
394	1646	2521
395	1650	2517
396	1653	2511
397	1656	2506
398	1660	2500
399	1663	2495
400	1667	2491
401	1671	2486
402	1674	2480
403	1677	2475
404	1682	2471
405	1685	2466
406	1689	2461
407	1692	2455
408	1695	2450
409	1700	2447
410	1704	2442
411	1708	2438
412	1711	2432
413	1715	2428
414	1719	2423
415	1722	2418
416	1726	2413
417	1730	2409
418	1734	2404
419	1737	2399
420	1740	2394
421	1744	2388
422	1747	2384
423	1751	2378
424	1754	2373
425	1757	2367
426	1760	2363
427	1765	2359
428	1768	2354
429	1771	2348
430	1774	2342
431	1778	2338
432	1782	2333
433	1786	2329
434	1789	2324
435	1793	2320
436	1798	2316
437	1801	2311
438	1804	2306
439	1807	2300
440	1813	2298
441	1817	2294
442	1820	2289
443	1824	2284
444	1830	2283
445	1834	2278
446	1837	2273
447	1842	2269
448	1845	2264
449	1848	2259
450	1852	2255
451	1856	2250
452	1861	2248
453	1865	2243
454	1868	2237
455	1871	2232
456	1876	2229
457	1880	2225
458	1883	2220
459	1886	2215
460	1891	2211
461	1895	2207
462	1898	2201
463	1901	2196
464	1904	2190
465	1910	2188
466	1913	2183
467	1916	2179
468	1919	2173
469	1927	2173
470	1930	2168
471	1934	2164
472	1938	2159
473	1942	2155
474	1946	2151
475	1950	2147
476	1956	2144
477	1959	2140
478	1963	2135
479	1966	2130
480	1971	2126
481	1976	2123
482	1979	2118
483	1982	2113
484	1985	2108
485	1989	2103
486	1992	2098
487	1995	2093
488	1998	2088
489	2001	2083
490	2004	2078
491	2007	2072
492	2010	2067
493	2013	2062
494	2016	2057
495	2019	2052
496	2022	2047
497	2025	2042
498	2029	2037
499	2032	2032
500	2035	2027
501	2039	2023
502	2042	2018
503	2045	2013
504	2048	2008
505	2052	2003
506	2056	1999
507	2059	1994
508	2062	1989
509	2065	1984
510	2069	1980
511	2073	1976
512	2076	1971
513	2079	1966
514	2082	1961
515	2086	1956
516	2089	1951
517	2092	1946
518	2095	1941
519	2098	1936
520	2101	1931
521	2104	1927
522	2108	1922
523	2111	1917
524	2114	1913
525	2118	1908
526	2122	1904
527	2125	1899
528	2128	1894
529	2131	1890
530	2135	1886
531	2139	1882
532	2142	1877
533	2146	1872
534	2150	1868
535	2153	1864
536	2156	1859
537	2159	1854
538	2162	1849
539	2166	1845
540	2168	1840
541	2171	1835
542	2174	1830
543	2177	1825
544	2181	1821
545	2185	1817
546	2188	1812
547	2191	1807
548	2195	1803
549	2198	1798
550	2201	1793
551	2204	1788
552	2207	1784
553	2210	1779
554	2213	1774
555	2216	1770
556	2219	1765
557	2222	1760
558	2225	1755
559	2228	1751
560	2231	1746
561	2234	1741
562	2237	1736
563	2240	1732
564	2244	1728
565	2247	1723
566	2250	1718
567	2253	1713
568	2256	1709
569	2259	1704
570	2262	1700
571	2265	1695
572	2268	1690
573	2271	1685
574	2274	1680
575	2278	1676
576	2281	1672
577	2284	1668
578	2287	1663
579	2290	1658
580	2293	1654
581	2296	1649
582	2299	1644
583	2302	1640
584	2305	1635
585	2308	1631
586	2312	1626
587	2315	1622
588	2318	1617
589	2320	1612
590	2324	1608
591	2327	1604
592	2330	1599
593	2333	1595
594	2336	1590
595	2340	1586
596	2343	1581
597	2346	1577
598	2350	1573
599	2353	1568
600	2357	1565
601	2361	1561
602	2365	1557
603	2368	1552
604	2371	1548
605	2375	1544
606	2378	1540
607	2381	1535
608	2384	1531
609	2388	1526
610	2391	1522
611	2394	1517
612	2397	1513
613	2400	1508
614	2403	1504
615	2406	1500
616	2409	1495
617	2412	1491
618	2415	1486
619	2418	1482
620	2421	1478
621	2424	1473
622	2427	1469
623	2430	1464
624	2433	1460
625	2437	1456
626	2440	1451
627	2443	1447
628	2446	1442
629	2449	1438
630	2452	1434
631	2455	1429
632	2458	1425
633	2461	1421
634	2465	1416
635	2470	1413
636	2473	1409
637	2476	1405
638	2479	1401
639	2482	1396
640	2486	1392
641	2489	1388
642	2492	1383
643	2496	1380
644	2499	1375
645	2503	1371
646	2506	1367
647	2509	1363
648	2512	1358
649	2515	1354
650	2518	1350
651	2521	1345
652	2524	1341
653	2527	1337
654	2530	1332
655	2533	1328
656	2536	1324
657	2539	1320
658	2542	1315
659	2545	1311
660	2548	1307
661	2552	1303
662	2555	1298
663	2558	1294
664	2561	1290
665	2565	1286
666	2568	1282
667	2571	1278
668	2574	1273
669	2577	1269
670	2580	1265
671	2584	1261
672	2587	1257
673	2590	1252
674	2593	1248
675	2596	1244
676	2599	1240
677	2602	1235
678	2605	1231
679	2608	1227
680	2611	1223
681	2614	1219
682	2618	1215
683	2621	1210
684	2624	1206
685	2627	1202
686	2631	1198
687	2634	1194
688	2638	1190
689	2641	1186
690	2644	1182
691	2648	1178
692	2651	1174
693	2654	1170
694	2656	1165
695	2660	1161
696	2663	1158
697	2667	1154
698	2670	1150
699	2674	1146
700	2677	1142
701	2681	1138
702	2684	1134
703	2688	1130
704	2691	1126
705	2695	1122
706	2698	1118
707	2702	1114
708	2705	1110
709	2709	1106
710	2712	1102
711	2715	1098
712	2718	1094
713	2721	1090
714	2724	1085
715	2727	1081
716	2731	1077
717	2734	1073
718	2737	1069
719	2739	1065
720	2743	1061
721	2746	1057
722	2749	1053
723	2752	1049
724	2755	1045
725	2758	1041
726	2761	1037
727	2764	1032
728	2767	1028
729	2770	1024
730	2773	1020
731	2777	1016
732	2781	1013
733	2784	1009
734	2787	1005
735	2791	1001
736	2794	997
737	2798	993
738	2801	989
739	2804	985
740	2809	981
741	2812	978
742	2815	973
743	2818	969
744	2822	965
745	2825	962
746	2828	958
747	2831	954
748	2834	949
749	2837	945
750	2841	942
751	2844	938
752	2847	934
753	2850	929
754	2853	926
755	2857	922
756	2860	918
757	2863	914
758	2866	910
759	2869	906
760	2873	902
761	2877	898
762	2880	894
763	2882	890
764	2886	886
765	2889	882
766	2892	878
767	2895	874
768	2898	870
769	2902	866
770	2905	863
771	2908	859
772	2911	855
773	2914	851
774	2917	847
775	2921	843
776	2924	839
777	2927	835
778	2930	831
779	2933	827
780	2937	823
781	2940	819
782	2943	815
783	2946	811
784	2949	807
785	2952	803
786	2956	800
787	2958	796
788	2961	792
789	2964	788
790	2968	784
791	2972	780
792	2975	776
793	2978	772
794	2981	768
795	2985	765
796	2988	761
797	2991	757
798	2994	753
799	2997	749
800	3000	745
801	3004	741
802	3007	737
803	3010	733
804	3013	730
805	3018	726
806	3021	722
807	3025	718
808	3028	715
809	3032	711
810	3036	707
811	3039	703
812	3042	699
813	3045	695
814	3049	692
815	3052	688
816	3056	684
817	3059	680
818	3062	676
819	3067	673
820	3071	669
821	3074	665
822	3078	661
823	3082	658
824	3087	654
825	3091	651
826	3094	647
827	3099	643
828	3103	640
829	3107	636
830	3110	632
831	3115	629
832	3119	625
833	3123	621
834	3126	617
835	3131	614
836	3135	610
837	3138	606
838	3141	602
839	3146	599
840	3150	595
841	3153	591
842	3156	587
843	3159	584
844	3164	580
845	3168	576
846	3171	572
847	3174	568
848	3178	565
849	3183	561
850	3185	557
851	3188	553
852	3192	550
853	3195	546
854	3199	542
855	3202	538
856	3205	534
857	3208	531
858	3211	527
859	3214	523
860	3217	519
861	3220	515
862	3223	511
863	3227	507
864	3229	504
865	3232	500
866	3236	496
867	3239	492
868	3243	488
869	3246	485
870	3249	481
871	3252	477
872	3255	473
873	3259	469
874	3262	466
875	3266	462
876	3269	458
877	3273	454
878	3276	451
879	3280	447
880	3283	443
881	3286	439
882	3289	435
883	3293	432
884	3295	428
885	3298	424
886	3301	420
887	3305	416
888	3308	413
889	3311	409
890	3314	405
891	3317	401
892	3320	397
893	3324	394
894	3327	390
895	3330	386
896	3333	382
897	3336	378
898	3339	375
899	3342	371
900	3345	367
901	3348	363
902	3351	360
903	3355	356
904	3358	352
905	3361	348
906	3363	344
907	3367	341
908	3371	337
909	3374	333
910	3377	329
911	3380	326
912	3383	322
913	3386	318
914	3390	314
915	3393	311
916	3396	307
917	3399	303
918	3402	299
919	3405	296
920	3408	292
921	3411	288
922	3414	284
923	3417	281
924	3420	277
925	3423	273
926	3426	269
927	3429	266
928	3432	262
929	3436	258
930	3439	254
931	3442	251
932	3445	247
933	3448	243
934	3458	240
935	3461	236
936	3464	232
937	3468	229
938	3472	225
939	3475	221
940	3478	218
941	3481	214
942	3484	210
943	3487	206
944	3490	203
945	3493	199
946	3496	195
947	3500	192
948	3503	188
949	3506	184
950	3509	180
951	3512	177
952	3515	173
953	3518	169
954	3521	165
955	3524	162
956	3527	158
957	3530	154
958	3533	151
959	3537	147
960	3539	143
961	3542	139
962	3546	136
963	3549	132
964	3552	128
965	3555	125
966	3558	121
967	3561	117
968	3564	114
969	3567	110
970	3570	106
971	3573	102
972	3576	99
973	3579	95
974	3583	91
975	3586	88
976	3589	84
977	3592	80
978	3595	77
979	3598	73
980	3601	69
981	3605	66
982	3608	62
983	3612	58
984	3615	55
985	3619	51
986	3622	47
987	3625	44
988	3629	40
989	3633	36
990	3636	33
991	3639	29
992	3643	25
993	3647	22
994	3651	18
995	3655	14
996	3658	11
997	3662	7
998	3666	3
999	3669	0
