iter	RMSE
0	0.3882649806
1	0.3774533438
2	0.3661245213
3	0.3562638647
4	0.3466807796
5	0.3367208986
6	0.3272453094
7	0.3189960128
8	0.3103799034
9	0.3023171431
10	0.2948592728
11	0.288173076
12	0.2815081382
13	0.2753997066
14	0.268931757
15	0.2630440029
16	0.2571367851
17	0.25206733
18	0.2469815366
19	0.2414249815
20	0.2366391132
21	0.2318852639
22	0.2274582415
23	0.2233275701
24	0.2191684076
25	0.2155175541
26	0.2112183923
27	0.2077379252
28	0.203863026
29	0.2009739674
30	0.1978062424
31	0.1949410552
32	0.1919148332
33	0.1891818296
34	0.1862772222
35	0.1836581059
36	0.1810477358
37	0.178520615
38	0.176196933
39	0.17391034
40	0.1719828698
41	0.1701496116
42	0.1682649984
43	0.1660889861
44	0.1641616673
45	0.1624228495
46	0.1611418895
47	0.1596375394
48	0.1580910919
49	0.1565648472
50	0.1549105642
51	0.1536640832
52	0.1522014608
53	0.1510151253
54	0.1495972928
55	0.1484006487
56	0.1471635084
57	0.1461556508
58	0.1449066063
59	0.1439317044
60	0.1427429861
61	0.1417104262
62	0.1407157535
63	0.1399193742
64	0.1390681574
65	0.138128754
66	0.1371084422
67	0.1361400679
68	0.1351979883
69	0.1344457413
70	0.1337157767
71	0.1328968677
72	0.1322222457
73	0.1316133815
74	0.1307976603
75	0.1300105331
76	0.1293590307
77	0.1286678299
78	0.1279802616
79	0.127395116
80	0.126654744
81	0.1259038107
82	0.1253840054
83	0.124799612
84	0.1241374348
85	0.1235549638
86	0.1230046165
87	0.1225262481
88	0.1218574625
89	0.1214461276
90	0.1209498944
91	0.1204960493
92	0.1201036598
93	0.1196223522
94	0.1189918741
95	0.1184686406
96	0.1180950015
97	0.117722723
98	0.1173024908
99	0.1168566054
100	0.1165427417
101	0.1160365051
102	0.1156863228
103	0.1152565268
104	0.1146553041
105	0.1142591239
106	0.1138243579
107	0.1135324633
108	0.113090614
109	0.112742728
110	0.1124041683
111	0.111902688
112	0.1116244683
113	0.1112640848
114	0.1108533496
115	0.1105139488
116	0.1102914546
117	0.110094446
118	0.1099231008
